Hersteller;Modell;Kilometerstand;Baujahr;PS;Zustand;Kraftstoff;Verbrauch;Preis
BMW;520;40000;2017;190;Gebraucht;Diesel;4,5;46900
Volvo;XC60;42656;2017;190;Gebraucht;Diesel;4,7;32930
Volvo;XC90;111183;2015;224;Gebraucht;Diesel;5,8;40930
Audi;Q3;42922;2016;184;Gebraucht;Diesel;5,2;30990
Seat;Ibiza;138000;2008;69;Gebraucht;Benzin;5,9;3200
Volkswagen;Tiguan;13189;2018;179;Gebraucht;Benzin;7,6;39930
Volkswagen;Touran;45000;2014;140;Gebraucht;Benzin;7,2;17000
Volkswagen;Passat;100;2018;67;Gebraucht;Benzin;4,7;10240
Audi;A3;345000;2006;170;Gebraucht;Diesel;5,7;3550
Volvo;V50;260000;2008;109;Gebraucht;Diesel;5;3200
Renault;Scenic;2000;2018;140;Neu;Benzin;5,5;24990
Renault;Clio;2000;2018;90;Neu;Benzin;5;14990
Kia;Rio;4;;84;Neu;Benzin;5,5;14250
Peugeot;307;52750;2004;109;Gebraucht;Benzin;;2790
BMW;218;42346;2015;150;Gebraucht;Diesel;4,5;21950
Volkswagen;Caddy;156600;2007;105;Gebraucht;Diesel;6,9;2890
Fiat;500;6917;2013;69;Gebraucht;Benzin;5,1;9450
Mazda;6;;;194;Neu;Benzin;6,8;34190
Mazda;MX-5;;;132;Neu;Benzin;6,3;23190
Volkswagen;T6;26537;2017;204;Jahreswagen;Diesel;7,6;60990
